1371:{"user_id":1371,"zipcode":10471,"latitude":39.50885177541568,"longitude":-73.34478169222643,"heart_rate":92}
2383:{"user_id":2383,"zipcode":10111,"latitude":40.55497246358009,"longitude":-74.59133948755525,"heart_rate":88}
2143:{"user_id":2143,"zipcode":10001,"latitude":40.84963472981246,"longitude":-74.36733772853864,"heart_rate":85}
12737:{"user_id":12737,"zipcode":10003,"latitude":40.95147036527179,"longitude":-74.80486799735792,"heart_rate":115}
14590:{"user_id":14590,"zipcode":10271,"latitude":40.67709015483464,"longitude":-73.78657493278709,"heart_rate":116}
19689:{"user_id":19689,"zipcode":10087,"latitude":40.522220693739435,"longitude":-73.69458664510773,"heart_rate":124}
19630:{"user_id":19630,"zipcode":11005,"latitude":39.15103947726917,"longitude":-74.08929973734041,"heart_rate":80}
9999:{"user_id":9999,"zipcode":10039,"latitude":39.46428574753535,"longitude":-74.75402580563448,"heart_rate":127}
19394:{"user_id":19394,"zipcode":10138,"latitude":40.15453294664567,"longitude":-73.33510561881222,"heart_rate":123}
5328:{"user_id":5328,"zipcode":10166,"latitude":40.71972319611647,"longitude":-74.79513779657545,"heart_rate":96}
17709:{"user_id":17709,"zipcode":10249,"latitude":40.8988561161551,"longitude":-73.17619046301664,"heart_rate":75}
10979:{"user_id":10979,"zipcode":10314,"latitude":39.543548939845884,"longitude":-74.92486303876836,"heart_rate":50}
18712:{"user_id":18712,"zipcode":10159,"latitude":40.767297990225174,"longitude":-74.08560635042066,"heart_rate":117}
3942:{"user_id":3942,"zipcode":10169,"latitude":40.673087443762135,"longitude":-74.77145142935035,"heart_rate":122}
4585:{"user_id":4585,"zipcode":10009,"latitude":39.39630642767975,"longitude":-73.00179077391296,"heart_rate":50}
6661:{"user_id":6661,"zipcode":10163,"latitude":39.51973266782457,"longitude":-74.40886004030988,"heart_rate":62}
5385:{"user_id":5385,"zipcode":10268,"latitude":40.983946644212025,"longitude":-73.45660405031653,"heart_rate":123}
11000:{"user_id":11000,"zipcode":10463,"latitude":39.39396993634646,"longitude":-73.6030764251707,"heart_rate":46}
13165:{"user_id":13165,"zipcode":10467,"latitude":39.787665220681134,"longitude":-73.45872557696192,"heart_rate":72}
3205:{"user_id":3205,"zipcode":10124,"latitude":40.3153597868827,"longitude":-74.19745958095052,"heart_rate":128}
17369:{"user_id":17369,"zipcode":10304,"latitude":40.36750410087823,"longitude":-74.32899396522926,"heart_rate":74}
4459:{"user_id":4459,"zipcode":11096,"latitude":39.090857958913126,"longitude":-73.61066586285138,"heart_rate":113}
13416:{"user_id":13416,"zipcode":10469,"latitude":40.787003470151724,"longitude":-73.00217533585345,"heart_rate":94}
14451:{"user_id":14451,"zipcode":10008,"latitude":40.0042669053898,"longitude":-74.62277409433709,"heart_rate":61}
6865:{"user_id":6865,"zipcode":10103,"latitude":39.84457109253525,"longitude":-73.2889162080162,"heart_rate":105}
9933:{"user_id":9933,"zipcode":11003,"latitude":40.63536802254572,"longitude":-73.30527357090516,"heart_rate":49}
17390:{"user_id":17390,"zipcode":10013,"latitude":40.220620962217524,"longitude":-73.02420537697343,"heart_rate":125}
9740:{"user_id":9740,"zipcode":10029,"latitude":39.010405594184036,"longitude":-73.99403482253935,"heart_rate":46}
12269:{"user_id":12269,"zipcode":10003,"latitude":39.74712185796986,"longitude":-74.97421487063971,"heart_rate":57}
14011:{"user_id":14011,"zipcode":10133,"latitude":40.09323380547458,"longitude":-73.90314294889521,"heart_rate":98}
5632:{"user_id":5632,"zipcode":10017,"latitude":39.903748855245595,"longitude":-73.21096452922137,"heart_rate":110}
12302:{"user_id":12302,"zipcode":10160,"latitude":39.637436697909685,"longitude":-74.23241990965228,"heart_rate":84}
4017:{"user_id":4017,"zipcode":10124,"latitude":40.90274593534847,"longitude":-73.6312417354087,"heart_rate":97}
16951:{"user_id":16951,"zipcode":10165,"latitude":39.323651832322994,"longitude":-74.7299481026853,"heart_rate":100}
18915:{"user_id":18915,"zipcode":10028,"latitude":39.87516244525634,"longitude":-73.8817378926244,"heart_rate":117}
9033:{"user_id":9033,"zipcode":10138,"latitude":40.83006819508381,"longitude":-73.47263063393692,"heart_rate":88}
878:{"user_id":878,"zipcode":10039,"latitude":40.98409580617359,"longitude":-73.19993935566877,"heart_rate":52}
2532:{"user_id":2532,"zipcode":10173,"latitude":40.02251720819437,"longitude":-74.72003485345985,"heart_rate":115}
9666:{"user_id":9666,"zipcode":10466,"latitude":40.16593963772393,"longitude":-74.64177789836731,"heart_rate":115}
15071:{"user_id":15071,"zipcode":10010,"latitude":40.69049944566439,"longitude":-73.8672484643933,"heart_rate":47}
12339:{"user_id":12339,"zipcode":10154,"latitude":39.2224148342304,"longitude":-74.43763705374678,"heart_rate":85}
4817:{"user_id":4817,"zipcode":10129,"latitude":40.14408039457297,"longitude":-74.48625360450681,"heart_rate":102}
17195:{"user_id":17195,"zipcode":10165,"latitude":40.207686102785644,"longitude":-73.66990409699288,"heart_rate":90}
7329:{"user_id":7329,"zipcode":10260,"latitude":40.45886018465761,"longitude":-73.40847977203148,"heart_rate":88}
14885:{"user_id":14885,"zipcode":10303,"latitude":39.89831583541273,"longitude":-74.98260901303297,"heart_rate":60}
17017:{"user_id":17017,"zipcode":10470,"latitude":39.79770319206723,"longitude":-73.31282864760746,"heart_rate":90}
920:{"user_id":920,"zipcode":10035,"latitude":39.599323956628545,"longitude":-73.24573075253771,"heart_rate":84}
6476:{"user_id":6476,"zipcode":10199,"latitude":40.721806415650384,"longitude":-74.27411801648013,"heart_rate":108}
13771:{"user_id":13771,"zipcode":10473,"latitude":40.23178934081,"longitude":-74.78272983687425,"heart_rate":87}
12537:{"user_id":12537,"zipcode":10292,"latitude":39.303954935127486,"longitude":-74.56948425772863,"heart_rate":82}
18530:{"user_id":18530,"zipcode":10118,"latitude":39.439464837331826,"longitude":-73.80746725498139,"heart_rate":54}
13450:{"user_id":13450,"zipcode":10302,"latitude":39.50135224064337,"longitude":-73.90690754328034,"heart_rate":64}
19893:{"user_id":19893,"zipcode":10256,"latitude":40.420320628041466,"longitude":-73.12680942918648,"heart_rate":69}
1488:{"user_id":1488,"zipcode":10108,"latitude":39.835782546985634,"longitude":-73.96560233352587,"heart_rate":80}
562:{"user_id":562,"zipcode":10020,"latitude":39.764158946376,"longitude":-73.9957213058759,"heart_rate":61}
6613:{"user_id":6613,"zipcode":10095,"latitude":40.715715766868726,"longitude":-73.23921383319733,"heart_rate":117}
15226:{"user_id":15226,"zipcode":10309,"latitude":39.66781320478222,"longitude":-73.48944940331508,"heart_rate":45}
13855:{"user_id":13855,"zipcode":10173,"latitude":40.10067838983856,"longitude":-73.60813184563274,"heart_rate":83}
9619:{"user_id":9619,"zipcode":10465,"latitude":40.05938413603823,"longitude":-74.32653005367114,"heart_rate":122}
1342:{"user_id":1342,"zipcode":10169,"latitude":39.070828579171526,"longitude":-74.76197612456433,"heart_rate":55}
15778:{"user_id":15778,"zipcode":10124,"latitude":39.687831836645785,"longitude":-73.62632913616248,"heart_rate":67}
12736:{"user_id":12736,"zipcode":10157,"latitude":40.87967074043582,"longitude":-73.68966317936973,"heart_rate":46}
18721:{"user_id":18721,"zipcode":10069,"latitude":40.37721827093582,"longitude":-74.8616307312154,"heart_rate":55}
2969:{"user_id":2969,"zipcode":10292,"latitude":39.66684292332549,"longitude":-73.68607499807413,"heart_rate":61}
12878:{"user_id":12878,"zipcode":10314,"latitude":40.963819969140914,"longitude":-73.6462506908818,"heart_rate":80}
14604:{"user_id":14604,"zipcode":10121,"latitude":40.375840857696296,"longitude":-73.8506338235257,"heart_rate":129}
17558:{"user_id":17558,"zipcode":10122,"latitude":40.588673297770534,"longitude":-74.48817563006264,"heart_rate":113}
4484:{"user_id":4484,"zipcode":10151,"latitude":39.07636166211695,"longitude":-74.52697209801282,"heart_rate":75}
10694:{"user_id":10694,"zipcode":10474,"latitude":39.14898905708836,"longitude":-74.16834432593858,"heart_rate":66}
18632:{"user_id":18632,"zipcode":10033,"latitude":40.59244260643396,"longitude":-74.71290032437462,"heart_rate":50}
3134:{"user_id":3134,"zipcode":10273,"latitude":39.85036614707694,"longitude":-73.13487134459395,"heart_rate":56}
15601:{"user_id":15601,"zipcode":10027,"latitude":39.114347506028835,"longitude":-74.92500956098955,"heart_rate":81}
